Category: All categories

Week,mathematica: (Worldwide),jupyter: (Worldwide)
2015-01-04,66,0
2015-01-11,77,<1
2015-01-18,90,<1
2015-01-25,86,1
2015-02-01,94,<1
2015-02-08,100,<1
2015-02-15,95,1
2015-02-22,91,1
2015-03-01,90,2
2015-03-08,95,2
2015-03-15,87,2
2015-03-22,90,2
2015-03-29,87,2
2015-04-05,89,2
2015-04-12,94,2
2015-04-19,95,2
2015-04-26,91,3
2015-05-03,87,3
2015-05-10,86,3
2015-05-17,83,3
2015-05-24,80,2
2015-05-31,77,3
2015-06-07,78,3
2015-06-14,72,3
2015-06-21,68,3
2015-06-28,72,4
2015-07-05,61,3
2015-07-12,61,4
2015-07-19,60,4
2015-07-26,62,3
2015-08-02,58,3
2015-08-09,55,4
2015-08-16,58,5
2015-08-23,65,5
2015-08-30,82,6
2015-09-06,88,7
2015-09-13,90,8
2015-09-20,87,6
2015-09-27,92,8
2015-10-04,91,8
2015-10-11,93,10
2015-10-18,95,10
2015-10-25,95,10
2015-11-01,92,10
2015-11-08,91,10
2015-11-15,89,11
2015-11-22,80,9
2015-11-29,89,11
2015-12-06,81,11
2015-12-13,74,11
2015-12-20,51,10
2015-12-27,44,8
2016-01-03,60,11
2016-01-10,70,12
2016-01-17,78,14
2016-01-24,81,14
2016-01-31,88,15
2016-02-07,84,16
2016-02-14,84,17
2016-02-21,85,16
2016-02-28,89,14
2016-03-06,88,18
2016-03-13,80,19
2016-03-20,80,19
2016-03-27,79,18
2016-04-03,89,19
2016-04-10,90,18
2016-04-17,89,20
2016-04-24,87,18
2016-05-01,78,19
2016-05-08,77,21
2016-05-15,78,21
2016-05-22,69,20
2016-05-29,69,20
2016-06-05,72,21
2016-06-12,67,23
2016-06-19,62,22
2016-06-26,59,21
2016-07-03,58,21
2016-07-10,51,22
2016-07-17,55,23
2016-07-24,54,21
2016-07-31,47,23
2016-08-07,56,23
2016-08-14,52,21
2016-08-21,64,24
2016-08-28,64,26
2016-09-04,76,26
2016-09-11,77,26
2016-09-18,85,29
2016-09-25,82,30
2016-10-02,88,29
2016-10-09,83,31
2016-10-16,88,31
2016-10-23,87,31
2016-10-30,88,32
2016-11-06,84,29
2016-11-13,82,36
2016-11-20,77,31
2016-11-27,86,33
2016-12-04,83,35
2016-12-11,71,34
2016-12-18,56,31
2016-12-25,39,24
2017-01-01,51,34
2017-01-08,61,39
2017-01-15,70,41
2017-01-22,76,41
2017-01-29,77,44
2017-02-05,79,42
2017-02-12,78,44
2017-02-19,83,48
2017-02-26,83,50
2017-03-05,78,49
2017-03-12,82,49
2017-03-19,84,50
2017-03-26,81,48
2017-04-02,81,53
2017-04-09,86,50
2017-04-16,80,49
2017-04-23,84,50
2017-04-30,79,49
2017-05-07,77,51
2017-05-14,66,48
2017-05-21,64,48
2017-05-28,63,50
2017-06-04,60,53
2017-06-11,56,53
2017-06-18,57,57
2017-06-25,55,52
2017-07-02,48,50
2017-07-09,55,56
2017-07-16,47,56
2017-07-23,44,58
2017-07-30,49,56
2017-08-06,47,55
2017-08-13,43,54
2017-08-20,51,61
2017-08-27,54,56
2017-09-03,63,65
2017-09-10,69,70
2017-09-17,78,64
2017-09-24,71,71
2017-10-01,71,67
2017-10-08,77,73
2017-10-15,76,73
2017-10-22,74,70
2017-10-29,71,72
2017-11-05,74,75
2017-11-12,75,79
2017-11-19,62,67
2017-11-26,72,75
2017-12-03,69,75
2017-12-10,61,72
2017-12-17,50,64
2017-12-24,36,48
2017-12-31,41,54
2018-01-07,51,72
2018-01-14,55,76
2018-01-21,62,78
2018-01-28,69,84
2018-02-04,68,82
2018-02-11,66,81
2018-02-18,64,87
2018-02-25,69,89
2018-03-04,66,88
2018-03-11,63,85
2018-03-18,67,88
2018-03-25,59,87
2018-04-01,60,85
2018-04-08,62,88
